"Obec / Kandidát (2023-2)";"Petr Pavel";"Andrej Babiš"
"Politická příslušnost";"BEZPP";"ANO"
"Celkem";3359151;2400046
"Abertamy";371;218
"Adamov (Blansko, 581291)";1283;961
"Adamov (České Budějovice, 535826)";350;187
"Adamov (Kutná Hora, 531367)";42;36
"Adršpach";171;104
"Albrechtice (Karviná, 598925)";884;1293
"Albrechtice nad Orlicí";359;182
"Albrechtice nad Vltavou";307;244
"Albrechtice (Ústí nad Orlicí, 547981)";116;135
"Albrechtice v Jizerských horách";375;71
"Albrechtičky";259;141
"Alojzov";83;74
"Andělská Hora (Bruntál, 551929)";101;132
"Andělská Hora (Karlovy Vary, 538001)";135;90
"Anenská Studánka";32;42
"Archlebov";257;217
"Arneštovice";22;37
"Arnolec";46;53
"Arnoltice";156;129
"Aš";2414;2771
"Babice (Hradec Králové, 569828)";67;67
"Babice nad Svitavou";574;213
"Babice (Olomouc, 552356)";132;164
"Babice (Praha-východ, 538043)";538;195
"Babice (Prachatice, 537241)";51;27
"Babice (Třebíč, 590274)";79;61
"Babice u Rosic";262;182
"Babice (Uherské Hradiště, 592013)";563;469
"Babylon";106;87
"Bácovice";22;30
"Bačalky";60;49
"Bačetín";155;94
"Bačice";53;71
"Bačkov";31;39
"Bačkovice";14;37
"Bakov nad Jizerou";1625;1129
"Baliny";51;28
"Balkova Lhota";53;30
"Banín";65;103
"Bánov";640;569
"Báňovice";54;12
"Bantice";96;84
"Barchov (Hradec Králové, 569836)";85;79
"Barchov (Pardubice, 574724)";93;74
"Barchovice";93;58
"Bartošovice";379;513
"Bartošovice v Orlických horách";144;30
"Bartoušov";61;61
"Bařice-Velké Těšany";151;123
"Baška";1295;1038
"Bašnice";58;64
"Bašť";947;310
"Batelov";687;708
"Batňovice";308;166
"Bavorov";382;445
"Bavory";144;102
"Bavoryně";118;84
"Bdeněves";293;166
"Bdín";28;20
"Bečice (České Budějovice, 536156)";35;27
"Bečice (Tábor, 563366)";47;10
"Bečov";172;512
"Bečov nad Teplou";226;282
"Bečváry";298;294
"Bedihošť";223;355
"Bednárec";32;40
"Bednáreček";56;50
"Bedřichov (Blansko, 581313)";94;57
"Bedřichov (Jablonec nad Nisou, 563536)";675;79
"Běhařov";65;27
"Běhařovice";79;147
"Běchary";46;78
"Bechlín";364;382
"Bechyně";1613;1214
"Bělá (Havlíčkův Brod, 573566)";52;99
"Bělá nad Radbuzou";360;481
"Bělá nad Svitavou";109;163
"Bělá (Opava, 512974)";128;259
"Bělá (Pelhřimov, 561126)";17;14
"Bělá pod Bezdězem";1414;1113
"Bělá pod Pradědem";658;524
"Bělá (Semily, 576972)";113;58
"Bělá u Jevíčka";82;126
"Bělčice";295;266
"Běleč (Brno-venkov, 581321)";64;53
"Běleč (Kladno, 535010)";114;69
"Běleč nad Orlicí";183;68
"Běleč (Tábor, 560448)";85;42
"Bělkovice-Lašťany";727;537
"Běloky";75;40
"Bělotín";389;527
"Bělov";137;76
"Bělušice (Kolín, 533190)";63;86
"Bělušice (Most, 567051)";93;264
"Benátky (Hradec Králové, 569861)";38;31
"Benátky nad Jizerou";2377;1455
"Benátky (Svitavy, 577774)";182;65
"Benecko";828;213
"Benešov (Benešov, 529303)";5702;3394
"Benešov (Blansko, 581330)";253;179
"Benešov nad Černou";269;396
"Benešov nad Ploučnicí";789;1078
"Benešov u Semil";271;199
"Benešovice";64;76
"Benetice";65;45
"Beňov";191;226
"Bernardov";46;50
"Bernartice (Benešov, 532568)";69;74
"Bernartice (Jeseník, 524891)";124;269
"Bernartice nad Odrou";377;220
"Bernartice (Písek, 549266)";428;386
"Bernartice (Trutnov, 579050)";222;254
"Beroun";7000;3410
"Běrunice";249;247
"Beřovice";132;58
"Besednice";263;194
"Běstovice";150;111
"Běstvina";145;161
"Běšiny";226;239
"Běštín";109;98
"Bezděčí u Trnávky";68;65
"Bezdědovice";115;84
"Bezděkov (Havlíčkův Brod, 548430)";64;77
"Bezděkov (Klatovy, 555801)";278;243
"Bezděkov nad Metují";217;137
"Bezděkov (Pardubice, 574741)";115;75
"Bezděkov pod Třemšínem";54;41
"Bezděkov (Rokycany, 541095)";40;39
"Bezděz";116;82
"Bezdružice";195;284
"Bezkov";61;63
"Bezměrov";125;186
"Bezno";213;257
"Bezuchov";59;55
"Bezvěrov";102;232
"Bílá (Frýdek-Místek, 598020)";180;98
"Bílá Hlína";47;16
"Bílá Lhota";313;358
"Bílá (Liberec, 563901)";309;243
"Bílá Třemešná";446;332
"Bílá Voda";68;71
"Bílčice";27;100
"Bílé Podolí";152;199
"Bílé Poličany";39;64
"Bílence";53;101
"Bílichov";54;64
"Bílina";2104;4575
"Bílkovice";56;82
"Bílov (Nový Jičín, 546984)";110;205
"Bílov (Plzeň-sever, 530239)";20;19
"Bílovec";2002;2127
"Bílovice";695;401
"Bílovice nad Svitavou";1603;576
"Bílovice-Lutotín";138;173
"Bílsko (Olomouc, 552062)";73;47
"Bílsko (Strakonice, 550833)";60;62
"Bílsko u Hořic";50;28
"Bílý Kámen";126;54
"Bílý Kostel nad Nisou";310;306
"Bílý Potok";168;220
"Bílý Újezd";211;197
"Biřkov";32;34
"Biskoupky";50;59
"Biskupice (Chrudim, 573949)";11;25
"Biskupice (Prostějov, 589284)";56;101
"Biskupice (Svitavy, 572519)";135;122
"Biskupice (Zlín, 585076)";216;192
"Biskupice-Pulkov";65;60
"Bítouchov";128;93
"Bítov (Nový Jičín, 554936)";160;144
"Bítov (Znojmo, 593753)";47;32
"Bítovany";138;113
"Bítovčice";120;114
"Bitozeves";87;158
"Blanné";19;34
"Blansko";6369;4522
"Blatce";61;36
"Blatec";191;189
"Blatná";2216;1393
"Blatnice (Plzeň-sever, 558672)";262;246
"Blatnice pod Svatým Antonínkem";719;445
"Blatnice (Třebíč, 590321)";82;148
"Blatnička";140;114
"Blatno (Chomutov, 562998)";204;159
"Blatno (Louny, 566004)";100;200
"Blazice";54;47
"Blažejov";152;126
"Blažejovice";48;33
"Blažim (Louny, 566012)";52;107
"Blažim (Plzeň-sever, 566764)";8;24
"Blažkov";84;71
"Blažovice";510;216
"Blešno";179;85
"Blevice";83;84
"Blízkov";137;77
"Blížejov";350;406
"Blíževedly";120;163
"Blížkovice";327;401
"Blovice";1322;1003
"Blšany";198;360
"Blšany u Loun";114;119
"Blučina";691;551
"Bludov (Kutná Hora, 530964)";12;5
"Bludov (Šumperk, 525588)";1010;792
"Bobnice";295;224
"Bobrová";298;213
"Bobrůvka";87;64
"Bocanovice";157;118
"Boháňka";98;76
"Boharyně";175;184
"Bohaté Málkovice";63;66
"Bohatice";51;54
"Bohdalec";117;70
"Bohdalice-Pavlovice";249;301
"Bohdalín";56;61
"Bohdalov";363;299
"Bohdalovice";59;81
"Bohdaneč";97;151
"Bohdašín";101;45
"Bohdíkov";274;435
"Bohostice";65;65
"Bohumilice";94;80
"Bohumín";4145;6301
"Bohunice";20;11
"Bohuňov (Svitavy, 577812)";45;45
"Bohuňov (Žďár nad Sázavou, 595306)";89;75
"Bohuňovice (Olomouc, 500852)";850;676
"Bohuňovice (Svitavy, 577821)";37;29
"Bohuslavice (Jihlava, 586901)";60;21
"Bohuslavice nad Vláří";108;124
"Bohuslavice (Náchod, 573892)";391;228
"Bohuslavice (Opava, 506192)";571;464
"Bohuslavice (Prostějov, 589292)";117;134
"Bohuslavice (Šumperk, 525880)";141;135
"Bohuslavice u Zlína";236;211
"Bohuslávky";82;107
"Bohušice";49;38
"Bohušov";61;119
"Bohušovice nad Ohří";683;658
"Bohutice";168;237
"Bohutín (Příbram, 539953)";594;448
"Bohutín (Šumperk, 525979)";192;207
"Bohy";49;25
"Bochoř";252;309
"Bochov";409;556
"Bochovice";69;50
"Bojanov";243;154
"Bojanovice (Praha-západ, 539104)";212;95
"Bojanovice (Znojmo, 593796)";24;75
"Bojiště";103;75
"Bojkovice";1070;1306
"Bolatice";1282;1283
"Boleboř";103;107
"Bolehošť";209;138
"Boleradice";359;174
"Bolešiny";239;196
"Bolkov";10;21
"Boňkov";24;24
"Bor";749;1208
"Bor u Skutče";57;36
"Borač";137;78
"Bordovice";214;162
"Boreč";46;78
"Borek (České Budějovice, 544272)";625;335
"Borek (Havlíčkův Brod, 568465)";43;37
"Borek (Jičín, 548979)";39;13
"Borek (Pardubice, 574783)";140;43
"Borek (Praha-východ, 534684)";158;45
"Borkovany";228;232
"Borkovice";93;57
"Borohrádek";563;519
"Borotice (Příbram, 539970)";158;88
"Borotice (Znojmo, 593800)";47;172
"Borotín (Blansko, 581356)";97;132
"Borotín (Tábor, 552101)";215;155
"Borová Lada";193;74
"Borová (Náchod, 573906)";106;38
"Borová (Svitavy, 577839)";379;243
"Borovany (České Budějovice, 544281)";1273;1059
"Borovany (Písek, 598780)";63;69
"Borovná";25;33
"Borovnice (Benešov, 532096)";27;28
"Borovnice (České Budějovice, 535681)";55;29
"Borovnice (Rychnov nad Kněžnou, 576140)";115;93
"Borovnice (Trutnov, 579092)";130;73
"Borovnice (Žďár nad Sázavou, 595322)";61;47
"Borovnička";62;39
"Borovník";43;26
"Borovno";31;39
"Borovy";87;51
"Boršice";757;511
"Boršice u Blatnice";220;231
"Boršov";63;42
"Boršov nad Vltavou";786;355
"Borušov";40;61
"Bory";243;197
"Bořanovice";363;194
"Bořenovice";57;68
"Bořetice (Břeclav, 584347)";510;309
"Bořetice (Pelhřimov, 561240)";40;18
"Bořetín (Jindřichův Hradec, 562742)";26;26
"Bořetín (Pelhřimov, 509418)";53;29
"Bořice";60;46
"Bořislav";132;121
"Bořitov";368;359
"Boseň";174;140
"Boskovice";3662;2752
"Boskovštejn";41;46
"Bošice";117;76
"Bošilec";78;57
"Bošín";27;19
"Bošovice";386;286
"Boudy";89;41
"Bousín";50;40
"Bousov";54;87
"Bouzov";449;436
"Bozkov";218;130
"Božanov";99;96
"Božejov";201;155
"Božetice";160;72
"Boží Dar";474;58
"Božice";327;436
"Božičany";105;196
"Bradáčov";11;20
"Brada-Rybníček";98;21
"Bradlec";578;195
"Bradlecká Lhota";105;54
"Brambory";26;47
"Braňany";169;467
"Brandov";78;95
"Brandýs nad Labem-Stará Boleslav";6783;2947
"Brandýs nad Orlicí";497;360
"Brandýsek";762;421
"Branice";93;81
"Braníškov";76;44
"Branišov";123;44
"Branišovice";190;156
"Branka u Opavy";323;354
"Brankovice";212;281
"Branky";284;258
"Branná";197;73
"Branov";52;74
"Bransouze";75;71
"Brantice";307;435
"Branžež";95;66
"Braškov";489;192
"Bratčice (Brno-venkov, 582883)";206;187
"Bratčice (Kutná Hora, 531286)";120;122
"Bratkovice";127;78
"Bratronice (Kladno, 532142)";361;192
"Bratronice (Strakonice, 537063)";35;14
"Bratrušov";171;191
"Bratřejov";319;163
"Bratřice";20;64
"Bratříkovice";32;62
"Bratřínov";98;34
"Bravantice";238;327
"Brázdim";266;147
"Bražec";22;86
"Brloh (Český Krumlov, 545431)";382;201
"Brloh (Pardubice, 574791)";79;70
"Brňany";107;151
"Brněnec";281;401
"Brníčko";172;203
"Brnířov";142;78
"Brniště";272;446
"Brno";138810;64594
"Brod nad Dyjí";139;154
"Brod nad Tichou";32;119
"Brodce";301;272
"Brodec";23;34
"Brodek u Konice";227;240
"Brodek u Prostějova";363;434
"Brodek u Přerova";534;557
"Brodeslavy";18;34
"Broumov (Náchod, 573922)";1728;1803
"Broumov (Tachov, 541401)";42;40
"Broumy";328;268
"Brozany nad Ohří";359;314
"Brtnice";1257;961
"Brtnička";27;34
"Brťov-Jeneč";95;116
"Brumov";74;98
"Brumov-Bylnice";1530;1356
"Brumovice (Břeclav, 584363)";286;242
"Brumovice (Opava, 506320)";375;520
"Bruntál";2873;4521
"Brusné";105;124
"Brušperk";1350;1094
"Bruzovice";286;261
"Brzánky";29;20
"Brzice";84;57
"Brzkov";126;65
"Břasy";618;615
"Břeclav";6727;6303
"Břehov";76;32
