"Kraj / Kandidát (2023-2)";"Petr Pavel";"Andrej Babiš"
"Politická příslušnost";"BEZPP";"ANO"
"Celkem";3359151;2400046
"Hlavní město Praha";502438;155501
"Jihočeský kraj";209114;147882
"Jihomoravský kraj";387267;269188
"Karlovarský kraj";69882;72708
"Kraj Vysočina";168295;124951
"Královéhradecký kraj";190050;125588
"Liberecký kraj";141170;98885
"Moravskoslezský kraj";296031;334790
"Olomoucký kraj";179888;167440
"Pardubický kraj";169051;121978
"Plzeňský kraj";174447;138679
"Středočeský kraj";480264;277979
"Ústecký kraj";185743;222217
"Zlínský kraj";183676;141163
"Zahraničí";21835;1097
