"Obec (2023-2)";"Účast v %";"Voliči v seznamu";"Vydané obálky";"Odevzdané obálky";"Platné hlasy";"Platné hlasy v %"
"Celkem";70,25;8242566;5790001;5787540;5759199;99,51
"Abertamy";66,4;887;589;589;589;100
"Adamov (Blansko, 581291)";64,67;3490;2257;2257;2244;99,42
"Adamov (České Budějovice, 535826)";75,56;712;538;538;537;99,81
"Adamov (Kutná Hora, 531367)";75,24;105;79;79;78;98,73
"Adršpach";68,73;403;277;277;275;99,28
"Albrechtice (Karviná, 598925)";71,09;3085;2193;2192;2177;99,32
"Albrechtice nad Orlicí";71,32;767;547;547;541;98,9
"Albrechtice nad Vltavou";69,95;792;554;554;551;99,46
"Albrechtice (Ústí nad Orlicí, 547981)";73,41;346;254;254;251;98,82
"Albrechtice v Jizerských horách";84,98;526;447;447;446;99,78
"Albrechtičky";71,2;566;403;403;400;99,26
"Alojzov";76,59;205;157;157;157;100
"Andělská Hora (Bruntál, 551929)";69,14;337;233;233;233;100
"Andělská Hora (Karlovy Vary, 538001)";73,79;309;228;228;225;98,68
"Anenská Studánka";47,13;157;74;74;74;100
"Archlebov";69,69;683;476;476;474;99,58
"Arneštovice";92,19;64;59;59;59;100
"Arnolec";75,56;135;102;102;99;97,06
"Arnoltice";82,66;346;286;286;285;99,65
"Aš";55,34;9403;5204;5201;5185;99,69
"Babice (Hradec Králové, 569828)";81,71;164;134;134;134;100
"Babice nad Svitavou";80,75;982;793;793;787;99,24
"Babice (Olomouc, 552356)";80,87;366;296;296;296;100
"Babice (Praha-východ, 538043)";78,89;938;740;740;733;99,05
"Babice (Prachatice, 537241)";75,73;103;78;78;78;100
"Babice (Třebíč, 590274)";79,66;177;141;141;140;99,29
"Babice u Rosic";77,3;577;446;446;444;99,55
"Babice (Uherské Hradiště, 592013)";73,14;1415;1035;1035;1032;99,71
"Babylon";77,69;251;195;195;193;98,97
"Bácovice";74,29;70;52;52;52;100
"Bačalky";75,17;145;109;109;109;100
"Bačetín";80,19;313;251;251;249;99,2
"Bačice";74,4;168;125;125;124;99,2
"Bačkov";69,31;101;70;70;70;100
"Bačkovice";68;75;51;51;51;100
"Bakov nad Jizerou";73,66;3755;2766;2766;2754;99,57
"Baliny";74,07;108;80;80;79;98,75
"Balkova Lhota";72,81;114;83;83;83;100
"Banín";70,42;240;169;169;168;99,41
"Bánov";71,77;1693;1215;1215;1209;99,51
"Báňovice";79,52;83;66;66;66;100
"Bantice";79,48;229;182;182;180;98,9
"Barchov (Hradec Králové, 569836)";81,37;204;166;166;164;98,8
"Barchov (Pardubice, 574724)";73,57;227;167;167;167;100
"Barchovice";78,65;192;151;151;151;100
"Bartošovice";66,92;1339;896;896;892;99,55
"Bartošovice v Orlických horách";80;220;176;176;174;98,86
"Bartoušov";79,22;154;122;122;122;100
"Bařice-Velké Těšany";74,05;370;274;274;274;100
"Baška";74,69;3145;2349;2348;2333;99,36
"Bašnice";74,39;164;122;122;122;100
"Bašť";76,56;1647;1261;1261;1257;99,68
"Batelov";75,13;1870;1405;1402;1395;99,5
"Batňovice";77,61;612;475;475;474;99,79
"Bavorov";63,38;1319;836;836;827;98,92
"Bavory";74,1;332;246;246;246;100
"Bavoryně";68,69;297;204;204;202;99,02
"Bdeněves";79,04;582;460;460;459;99,78
"Bdín";81,36;59;48;48;48;100
"Bečice (České Budějovice, 536156)";76,54;81;62;62;62;100
"Bečice (Tábor, 563366)";89,06;64;57;57;57;100
"Bečov";57,84;1186;686;686;684;99,71
"Bečov nad Teplou";67,37;760;512;512;508;99,22
"Bečváry";70,46;843;594;594;592;99,66
"Bedihošť";69,11;845;584;584;578;98,97
"Bednárec";77,42;93;72;72;72;100
"Bednáreček";68,83;154;106;106;106;100
"Bedřichov (Blansko, 581313)";84,15;183;154;154;151;98,05
"Bedřichov (Jablonec nad Nisou, 563536)";92,76;815;756;756;754;99,74
"Běhařov";66,43;140;93;93;92;98,92
"Běhařovice";72,2;313;226;226;226;100
"Běchary";58,96;212;125;125;124;99,2
"Bechlín";74,41;1016;756;752;746;99,2
"Bechyně";70;4064;2845;2845;2827;99,37
"Bělá (Havlíčkův Brod, 573566)";79,38;194;154;153;151;98,69
"Bělá nad Radbuzou";62,11;1354;841;841;841;100
"Bělá nad Svitavou";69,72;393;274;274;272;99,27
"Bělá (Opava, 512974)";72,98;533;389;388;387;99,74
"Bělá (Pelhřimov, 561126)";70,83;48;34;34;31;91,18
"Bělá pod Bezdězem";69,22;3668;2539;2536;2527;99,65
"Bělá pod Pradědem";71,46;1668;1192;1192;1182;99,16
"Bělá (Semily, 576972)";78,9;218;172;172;171;99,42
"Bělá u Jevíčka";70,75;294;208;208;208;100
"Bělčice";70,85;796;564;563;561;99,64
"Běleč (Brno-venkov, 581321)";75,97;154;117;117;117;100
"Běleč (Kladno, 535010)";73,49;249;183;183;183;100
"Běleč nad Orlicí";79,5;317;252;252;251;99,6
"Běleč (Tábor, 560448)";78,88;161;127;127;127;100
"Bělkovice-Lašťany";71,69;1770;1269;1268;1264;99,68
"Běloky";78,23;147;115;115;115;100
"Bělotín";65,62;1405;922;920;916;99,57
"Bělov";78,6;271;213;213;213;100
"Bělušice (Kolín, 533190)";64,66;232;150;149;149;100
"Bělušice (Most, 567051)";60,3;592;357;357;357;100
"Benátky (Hradec Králové, 569861)";78,41;88;69;69;69;100
"Benátky nad Jizerou";69,81;5518;3852;3852;3832;99,48
"Benátky (Svitavy, 577774)";80,52;308;248;248;247;99,6
"Benecko";84,47;1249;1055;1055;1041;98,67
"Benešov (Benešov, 529303)";71,91;12722;9149;9147;9096;99,44
"Benešov (Blansko, 581330)";77,6;558;433;433;432;99,77
"Benešov nad Černou";66,6;1006;670;669;665;99,4
"Benešov nad Ploučnicí";65,4;2867;1875;1875;1867;99,57
"Benešov u Semil";71,6;662;474;474;470;99,16
"Benešovice";70;200;140;140;140;100
"Benetice";75,17;149;112;112;110;98,21
"Beňov";76,6;547;419;419;417;99,52
"Bernardov";66,44;146;97;97;96;98,97
"Bernartice (Benešov, 532568)";81,25;176;143;143;143;100
"Bernartice (Jeseník, 524891)";61,56;640;394;394;393;99,75
"Bernartice nad Odrou";79,11;761;602;602;597;99,17
"Bernartice (Písek, 549266)";71,75;1140;818;817;814;99,63
"Bernartice (Trutnov, 579050)";71,15;676;481;480;476;99,17
"Beroun";70,92;14748;10459;10456;10410;99,56
"Běrunice";71,06;698;496;496;496;100
"Beřovice";70,07;274;192;192;190;98,96
"Besednice";72,26;638;461;461;457;99,13
"Běstovice";76,01;346;263;263;261;99,24
"Běstvina";68,76;445;306;306;306;100
"Běšiny";72,14;646;466;466;465;99,79
"Běštín";77,82;266;207;207;207;100
"Bezděčí u Trnávky";82,72;162;134;134;133;99,25
"Bezdědovice";74,81;266;199;199;199;100
"Bezděkov (Havlíčkův Brod, 548430)";73,58;193;142;142;141;99,3
"Bezděkov (Klatovy, 555801)";71,25;734;523;523;521;99,62
"Bezděkov nad Metují";73,16;488;357;357;354;99,16
"Bezděkov (Pardubice, 574741)";75,1;253;190;190;190;100
"Bezděkov pod Třemšínem";77,87;122;95;95;95;100
"Bezděkov (Rokycany, 541095)";68,97;116;80;80;79;98,75
"Bezděz";65,56;302;198;198;198;100
"Bezdružice";67,94;705;479;479;479;100
"Bezkov";79,87;159;127;127;124;97,64
"Bezměrov";70,98;441;313;313;311;99,36
"Bezno";68,5;692;474;474;470;99,16
"Bezuchov";76,97;152;117;117;114;97,44
"Bezvěrov";62,2;537;334;334;334;100
"Bílá (Frýdek-Místek, 598020)";77,84;361;281;281;278;98,93
"Bílá Hlína";70,79;89;63;63;63;100
"Bílá Lhota";72,21;932;673;673;671;99,7
"Bílá (Liberec, 563901)";77,07;724;558;558;552;98,92
"Bílá Třemešná";73,31;1068;783;782;778;99,49
"Bílá Voda";51,09;274;140;140;139;99,29
"Bílčice";63,82;199;127;127;127;100
"Bílé Podolí";70,77;496;351;351;351;100
"Bílé Poličany";79,84;129;103;103;103;100
"Bílence";77,78;198;154;154;154;100
"Bílichov";71,52;165;118;118;118;100
"Bílina";58,76;11405;6702;6699;6679;99,7
"Bílkovice";77,97;177;138;138;138;100
"Bílov (Nový Jičín, 546984)";72,75;433;315;315;315;100
"Bílov (Plzeň-sever, 530239)";65;60;39;39;39;100
"Bílovec";70,68;5874;4152;4152;4129;99,45
"Bílovice";75,46;1467;1107;1107;1096;99,01
"Bílovice nad Svitavou";80,03;2734;2188;2188;2179;99,59
"Bílovice-Lutotín";74,64;418;312;312;311;99,68
"Bílsko (Olomouc, 552062)";70,35;172;121;121;120;99,17
"Bílsko (Strakonice, 550833)";74,85;163;122;122;122;100
"Bílsko u Hořic";75,73;103;78;78;78;100
"Bílý Kámen";82,95;217;180;180;180;100
"Bílý Kostel nad Nisou";74,85;831;622;621;616;99,19
"Bílý Potok";69,03;565;390;390;388;99,49
"Bílý Újezd";77,09;537;414;414;408;98,55
"Biřkov";68,04;97;66;66;66;100
"Biskoupky";69,62;158;110;110;109;99,09
"Biskupice (Chrudim, 573949)";60;60;36;36;36;100
"Biskupice (Prostějov, 589284)";67,23;235;158;158;157;99,37
"Biskupice (Svitavy, 572519)";71,35;363;259;259;257;99,23
"Biskupice (Zlín, 585076)";71,93;570;410;410;408;99,51
"Biskupice-Pulkov";57,08;219;125;125;125;100
"Bítouchov";74,25;299;222;222;221;99,55
"Bítov (Nový Jičín, 554936)";79,33;387;307;306;304;99,35
"Bítov (Znojmo, 593753)";71,82;110;79;79;79;100
"Bítovany";76,05;334;254;254;251;98,82
"Bítovčice";72,39;326;236;236;234;99,15
"Bitozeves";67,31;364;245;245;245;100
"Blanné";70,67;75;53;53;53;100
"Blansko";70,45;15543;10950;10945;10891;99,51
"Blatce";76,56;128;98;98;97;98,98
"Blatec";75,4;504;380;380;380;100
"Blatná";72,23;5035;3637;3635;3609;99,28
"Blatnice (Plzeň-sever, 558672)";77,31;661;511;511;508;99,41
"Blatnice pod Svatým Antonínkem";72,74;1614;1174;1174;1164;99,15
"Blatnice (Třebíč, 590321)";76,16;302;230;230;230;100
"Blatnička";74,13;344;255;255;254;99,61
"Blatno (Chomutov, 562998)";77,12;472;364;364;363;99,73
"Blatno (Louny, 566004)";74,14;406;301;301;300;99,67
"Blazice";66,24;157;104;104;101;97,12
"Blažejov";74,4;375;279;279;278;99,64
"Blažejovice";89,01;91;81;81;81;100
"Blažim (Louny, 566012)";74,65;213;159;159;159;100
"Blažim (Plzeň-sever, 566764)";59,26;54;32;32;32;100
"Blažkov";70,14;221;155;155;155;100
"Blažovice";82,61;880;727;727;726;99,86
"Blešno";81,27;331;269;269;264;98,14
"Blevice";73,25;228;167;167;167;100
"Blízkov";78,97;271;214;214;214;100
"Blížejov";63,49;1197;760;760;756;99,47
"Blíževedly";60,21;470;283;283;283;100
"Blížkovice";75,62;964;729;729;728;99,86
"Blovice";72,44;3222;2334;2333;2325;99,66
"Blšany";70,74;793;561;561;558;99,47
"Blšany u Loun";76,64;304;233;233;233;100
"Blučina";73,18;1704;1247;1247;1242;99,6
"Bludov (Kutná Hora, 530964)";80,95;21;17;17;17;100
"Bludov (Šumperk, 525588)";73,59;2461;1811;1811;1802;99,5
"Bobnice";74,29;700;520;520;519;99,81
"Bobrová";73,29;700;513;513;511;99,61
"Bobrůvka";75,25;202;152;152;151;99,34
"Bocanovice";73,99;373;276;276;275;99,64
