"Okres (2023-2)";"Účast v %";"Voliči v seznamu";"Vydané obálky";"Odevzdané obálky";"Platné hlasy";"Platné hlasy v %"
"Celkem";70,25;8242566;5790001;5787540;5759199;99,51
"Benešov";73,59;78265;57595;57574;57286;99,5
"Beroun";73,49;72497;53276;53259;53018;99,55
"Blansko";72,28;85221;61598;61583;61282;99,51
"Brno-město";67,85;301541;204582;204400;203404;99,51
"Brno-venkov";74,45;172313;128282;128230;127664;99,56
"Bruntál";64,26;74451;47839;47817;47606;99,56
"Břeclav";70,26;92769;65175;65159;64879;99,57
"Česká Lípa";64,92;80681;52381;52371;52141;99,56
"České Budějovice";71,31;152863;109011;108963;108380;99,46
"Český Krumlov";68,8;48538;33393;33382;33218;99,51
"Děčín";64,67;101045;65344;65317;65065;99,61
"Domažlice";68,43;42243;28906;28899;28722;99,39
"Frýdek-Místek";69,05;170504;117732;117689;117115;99,51
"Havlíčkův Brod";74,19;74520;55288;55274;54994;99,49
"Hodonín";69,57;122796;85426;85385;84986;99,53
"Hradec Králové";73,52;127994;94098;94071;93560;99,46
"Cheb";61,78;69116;42702;42660;42489;99,6
"Chomutov";62,58;95642;59853;59833;59616;99,64
"Chrudim";73,06;82423;60218;60208;59919;99,52
"Jablonec nad Nisou";70,34;74481;52392;52360;52078;99,46
"Jeseník";64,62;31079;20083;20079;19965;99,43
"Jičín";73,33;63231;46370;46355;46086;99,42
"Jihlava";72,36;87432;63269;63246;62969;99,56
"Jindřichův Hradec";70,69;72320;51120;51110;50881;99,55
"Karlovy Vary";65,01;89176;57971;57955;57665;99,5
"Karviná";62,87;196760;123694;123637;123129;99,59
"Kladno";68,19;126872;86517;86476;86074;99,54
"Klatovy";71,67;69639;49911;49895;49660;99,53
"Kolín";71,31;78677;56104;56090;55853;99,58
"Kroměříž";69,35;84006;58256;58240;57938;99,48
"Kutná Hora";71,07;59305;42150;42137;41940;99,53
"Liberec";69,33;133852;92800;92762;92205;99,4
"Litoměřice";69,93;93167;65153;65122;64851;99,58
"Louny";67,62;68408;46260;46243;46070;99,63
"Mělník";70,2;83604;58694;58680;58420;99,56
"Mladá Boleslav";72,33;93463;67600;67568;67198;99,45
"Most";60,5;85910;51972;51949;51756;99,63
"Náchod";71,25;85799;61131;61114;60727;99,37
"Nový Jičín";69,3;118937;82429;82373;81988;99,53
"Nymburk";72,62;77451;56247;56222;55945;99,51
"Olomouc";70,21;185845;130486;130403;129750;99,5
"Opava";71,33;140141;99964;99926;99483;99,56
"Ostrava-město";64,54;251517;162326;162234;161500;99,55
"Pardubice";72,24;131306;94856;94823;94284;99,43
"Pelhřimov";73,75;56997;42033;42020;41829;99,55
"Písek";70,44;56013;39454;39444;39272;99,56
"Plzeň-jih";70,33;54540;38358;38347;38180;99,56
"Plzeň-město";69,33;140916;97699;97636;97219;99,57
"Plzeň-sever";71,25;63670;45366;45359;45159;99,56
"Praha";73,17;904378;661713;661311;657941;99,49
"Praha-východ";77,47;133016;103049;102981;102425;99,46
"Praha-západ";77,34;108394;83831;83798;83337;99,45
"Prachatice";68,94;41599;28677;28658;28494;99,43
"Prostějov";69,7;85776;59785;59771;59460;99,48
"Přerov";69,11;102182;70621;70608;70246;99,49
"Příbram";71,99;91867;66137;66117;65828;99,56
"Rakovník";70,77;43911;31078;31076;30919;99,49
"Rokycany";71,71;38119;27336;27325;27186;99,49
"Rychnov nad Kněžnou";73,04;62879;45928;45919;45642;99,4
"Semily";74,06;59407;43998;43974;43631;99,22
"Sokolov";60,86;70079;42647;42624;42436;99,56
"Strakonice";70,34;55244;38856;38848;38648;99,49
"Svitavy";71,69;81798;58642;58624;58313;99,47
"Šumperk";69,96;97559;68255;68239;67907;99,51
"Tábor";72,39;80647;58377;58358;58103;99,56
"Tachov";67,48;40136;27085;27084;27000;99,69
"Teplice";63,14;99154;62608;62576;62358;99,65
"Trutnov";71,43;98049;70038;70011;69623;99,45
"Třebíč";73,16;88122;64472;64462;64172;99,55
"Uherské Hradiště";71,78;112200;80538;80519;80073;99,45
"Ústí nad Labem";64,12;91321;58553;58516;58244;99,54
"Ústí nad Orlicí";73,65;107302;79033;79016;78513;99,36
"Vsetín";70,2;112814;79201;79174;78740;99,45
"Vyškov";71,52;72544;51883;51862;51610;99,51
"Zlín";71,69;151613;108694;108653;108088;99,48
"Znojmo";69,44;90602;62912;62894;62630;99,58
"Žďár nad Sázavou";74,72;93261;69687;69667;69282;99,45
"Zahraničí";80,27;28657;23003;22996;22932;99,72
